tenure_months,contract_type,monthly_charges,online_security,tech_support,payment_method,paperless_billing,senior_citizen,age,gender,internet_service,online_backup,device_protection,streaming_tv,streaming_movies,total_charges,support_tickets,complaint_count,usage_hours_per_month,email_opens_rate,nps_score,days_since_last_interaction,churn,satisfaction,customer_lifetime_value
52,Two year,90.18484886394367,1,1,Credit card,1,0,28,Male,Fiber optic,0,0,1,1,4689.612140925071,3,1,39.50590501708226,70.57130233373813,22,5,0,2,3606.8122274644234
17,Month-to-month,81.65736518090432,0,0,Electronic check,1,1,65,Female,No,1,1,0,0,1388.1752080753736,7,2,5.018525583907988,23.16974326905003,-15,57,1,1,1964.8433584040945
47,Two year,93.07259895185676,1,1,Bank transfer,1,0,24,Male,DSL,1,0,0,1,4374.412150737267,2,1,163.51459356539712,61.82945299331479,41,8,0,2,3491.258498539462
59,Two year,89.8750286454329,1,1,Credit card,1,0,28,Male,No,0,1,0,0,5302.626690080541,1,0,24.748764215114782,78.63754569084846,78,57,0,1,5359.285476133359
2,One year,78.53340138969352,0,0,Electronic check,1,0,25,Female,Fiber optic,0,0,0,0,157.06680277938705,4,1,35.61324103938596,76.88898528249214,44,8,1,2,1548.6152991595084
9,Month-to-month,46.88739983674236,0,0,Mailed check,0,0,49,Female,DSL,0,0,1,0,421.98659853068125,1,0,35.24415086461934,65.39269980600625,13,1,1,2,967.8680259814092
5,Month-to-month,50.411875967314934,0,0,Mailed check,1,0,23,Male,DSL,1,0,1,0,252.05937983657466,3,1,89.33391807632316,64.98942834350744,26,47,0,2,1460.3618948844548
29,Two year,68.65026964469493,1,0,Bank transfer,1,0,47,Female,Fiber optic,1,0,0,0,1990.857819696153,1,0,8.292462908120868,65.39017289861759,23,11,0,2,2715.3119622375707
35,One year,81.00571056181354,1,1,Bank transfer,0,0,20,Male,Fiber optic,0,0,0,1,2835.199869663474,1,0,57.454935109736844,40.307397926294456,49,3,0,2,2934.0154641624194
23,Two year,71.731734414843,0,0,Bank transfer,0,0,23,Male,No,1,1,1,0,1649.829891541389,2,0,31.438045272150383,79.36917912826131,100,4,0,2,3337.5047391479407
63,Two year,91.04000828141719,1,1,Credit card,1,0,42,Male,No,0,0,1,0,5735.520521729282,3,1,8.364768947703107,77.19725187713887,44,59,0,1,4307.52688228818
9,One year,37.81657191964193,0,0,Mailed check,0,0,18,Male,No,0,0,0,0,340.3491472767774,3,1,54.19122905913634,41.652703157235365,11,46,0,1,1578.443429186566
6,Month-to-month,107.56536478260882,0,0,Electronic check,1,0,24,Female,Fiber optic,1,0,0,1,645.392188695653,5,3,1.5925473710158224,20.898881892416625,-56,170,1,0,2458.109513326072
11,Month-to-month,60.15069316822941,0,1,Electronic check,0,0,59,Male,DSL,0,0,1,0,661.6576248505235,0,0,8.958541915488379,61.068516342211154,49,0,0,2,1967.826950427225
19,Month-to-month,116.4066093007722,0,0,Electronic check,1,0,18,Male,No,1,1,0,1,2211.7255767146717,8,6,20.52980970834298,25.937889819815414,66,59,1,1,3852.47328801478
27,Two year,80.08187711223444,0,0,Mailed check,0,0,19,Male,No,1,0,0,1,2162.2106820303297,3,1,24.504501000886243,53.56534680181641,66,14,0,2,2921.200039293767
2,One year,38.235887347149045,0,0,Mailed check,0,0,53,Female,No,1,0,0,0,76.47177469429809,0,1,1.2314074538509048,62.877252469914744,67,0,0,2,1737.776469154035
63,Two year,60.69519160741918,1,1,Credit card,1,0,30,Female,Fiber optic,0,0,1,0,3823.7970712674087,1,0,21.48709945882418,73.3850329955058,35,8,0,2,3501.2418802256834
53,Two year,76.95779251653208,1,1,Bank transfer,1,1,67,Female,No,0,0,0,0,4078.7630033762002,5,0,127.52804474701215,41.1054105230675,47,15,0,2,3214.7738779516285
48,Two year,89.48720900028972,1,1,Credit card,1,0,30,Male,Fiber optic,1,0,0,0,4295.3860320139065,2,0,11.820515004204777,46.36252348770141,38,31,0,2,3138.5215084843226
54,Two year,89.99403057745866,1,1,Credit card,1,0,24,Female,Fiber optic,0,1,1,1,4859.6776511827675,1,0,205.76419960874952,51.21926381702215,-1,0,0,2,2644.560247516165
2,Month-to-month,57.179778745564604,1,0,Mailed check,1,0,47,Female,Fiber optic,0,0,0,1,114.35955749112921,4,0,44.316860527717836,78.46220566611541,86,7,0,2,2449.3451702942225
55,Two year,86.56751658021669,1,1,Bank transfer,1,0,59,Male,DSL,1,1,0,0,4761.213411911918,3,1,39.38359774476571,43.867863857658925,53,11,0,2,4000.377213723262
15,Month-to-month,96.73297833745426,0,0,Electronic check,1,0,42,Male,DSL,0,1,1,0,1450.9946750618137,7,4,11.334644606581701,11.477368006511199,-41,1,1,1,1577.199352780216
11,Month-to-month,70.84389929468914,1,1,Electronic check,1,0,57,Male,Fiber optic,0,0,0,1,779.2828922415805,1,0,44.62580915424133,60.33895130323044,50,35,0,2,2119.019009193625
18,One year,54.72787242059942,1,1,Bank transfer,1,0,49,Male,Fiber optic,0,0,0,0,985.1017035707895,3,0,281.5270298729136,62.62532641805279,30,12,0,2,2116.6322992510723
11,Month-to-month,96.36123758001979,0,0,Electronic check,1,0,34,Female,DSL,0,0,0,0,1059.9736133802178,5,4,3.511185383471613,17.293601978421293,-43,1,1,1,2340.0746882503036
13,Month-to-month,86.1056297984569,0,0,Electronic check,1,0,56,Male,DSL,1,1,0,0,1119.3731873799397,7,2,7.6502193777600125,24.82195616042771,-29,0,1,1,1530.3202841746881
35,One year,56.622127190987754,1,1,Mailed check,1,0,47,Female,Fiber optic,1,1,0,0,1981.7744516845714,2,0,74.24854732433995,64.31666426886903,-13,3,1,2,1507.9254185450563
8,Month-to-month,54.81475627503198,1,0,Electronic check,1,0,31,Female,Fiber optic,1,0,1,1,438.51805020025586,5,0,72.49206916892942,62.62459998189847,15,22,0,2,1112.6176091754235
20,Month-to-month,93.30017571765065,0,0,Electronic check,1,0,53,Male,Fiber optic,1,1,1,0,1866.0035143530129,6,2,34.84717169209999,10.918340130329069,-21,81,1,1,1748.5139502738384
65,Two year,88.9992467969621,1,1,Credit card,1,0,24,Female,Fiber optic,0,1,0,0,5784.951041802537,0,0,3.194972169244693,67.4956287524522,75,0,0,2,5123.061200866307
68,Two year,84.53892554556705,1,1,Bank transfer,1,0,50,Male,No,0,0,1,0,5748.64693709856,1,0,57.46782283078391,40.388662566353496,34,0,0,2,3785.7048738941407
38,Two year,71.30982758315048,1,1,Credit card,1,0,28,Female,Fiber optic,0,0,0,1,2709.773448159718,1,0,42.35600948344051,60.28121581199574,-36,19,0,2,1973.4915492037148
24,Two year,72.67719808718738,0,1,Credit card,0,0,49,Male,DSL,0,0,1,0,1744.252754092497,1,1,113.26928957252133,77.2415280737661,100,5,0,2,3585.828694859122
29,One year,50.86359644570702,1,1,Bank transfer,1,0,46,Female,DSL,0,1,0,0,1475.0442969255034,2,0,64.18984972357806,40.20162712037382,40,38,0,2,2303.3911153790696
22,One year,53.923774649639256,1,0,Bank transfer,1,1,74,Female,Fiber optic,0,0,1,0,1186.3230422920637,1,0,53.07140151469119,73.81798172127434,-9,18,0,2,941.2355170635583
46,Two year,93.22137825619359,1,1,Bank transfer,1,0,52,Female,Fiber optic,1,0,1,1,4288.183399784905,1,0,93.45338706302152,56.740559237255965,30,42,0,2,2756.302447363752
68,Two year,98.05914238663965,1,1,Bank transfer,1,0,46,Female,Fiber optic,1,0,0,0,6668.021682291496,0,1,179.87452306511204,57.830353757430764,85,55,0,2,4928.83700158741
69,Two year,65.18402604781768,1,1,Credit card,1,0,34,Female,Fiber optic,0,0,0,0,4497.69779729942,1,1,172.9273157889449,53.270414983046166,4,30,0,2,3157.1736266194807
38,Two year,63.800467959692185,1,1,Bank transfer,1,0,19,Male,No,0,0,0,0,2424.417782468303,0,1,3.9765623479114636,47.58486606444866,55,1,0,2,3449.4795683847506
17,One year,55.74589460288478,0,1,Bank transfer,0,0,43,Male,DSL,1,1,0,1,947.6802082490412,0,0,48.92356733054121,40.707128302292965,19,0,0,2,2301.458739222071
14,Month-to-month,73.95723341391047,0,0,Electronic check,1,0,56,Female,DSL,0,0,0,0,1035.4012677947467,7,4,0.43125357036924933,10.28479115171282,-18,26,1,1,1586.7138585537657
7,Month-to-month,96.0186108220484,0,0,Electronic check,1,0,40,Male,No,0,1,0,0,672.1302757543388,9,2,11.928926564987316,16.021581538323225,-62,62,1,1,952.1243950074397
45,Two year,90.17014177375452,1,1,Bank transfer,1,0,33,Female,No,1,1,0,1,4057.6563798189536,5,0,71.41829571061058,79.48574735017871,-3,0,0,2,2748.255272547167
43,Two year,83.38682801770355,1,1,Credit card,1,0,20,Female,Fiber optic,0,0,1,0,3585.6336047612526,4,0,127.98039567083349,46.829004109071626,100,0,0,2,3855.410314359423
3,Month-to-month,66.11867538163992,0,0,Electronic check,0,0,24,Female,DSL,0,1,1,1,198.35602614491975,1,1,38.02872764127478,77.06919417329162,35,14,0,2,1389.734481118861
5,One year,63.48056282687588,0,1,Mailed check,1,0,45,Male,Fiber optic,1,1,0,1,317.4028141343794,1,0,9.897121227754463,69.48773828711975,33,29,1,2,799.5204066352496
7,Month-to-month,47.89205793207666,1,0,Mailed check,1,0,55,Male,Fiber optic,1,0,0,0,335.2444055245366,2,2,1.0251169685537092,53.383887411997115,63,12,1,2,1767.0501385095224
34,One year,58.481734487718384,1,1,Bank transfer,1,1,75,Female,No,0,0,1,0,1988.3789725824251,0,0,200.09870378102323,65.96582400642374,62,69,0,2,3483.6029661759812
70,Two year,74.19365441027561,1,1,Bank transfer,1,0,39,Male,DSL,0,0,0,1,5193.555808719293,3,1,144.90405605028226,66.49626986979797,17,6,0,2,3745.5641727350585
62,Two year,60.632843670623295,1,1,Credit card,1,0,20,Female,Fiber optic,1,1,0,0,3759.2363075786443,2,0,6.945084356541466,72.06349775431505,61,2,0,2,4434.153893355099
42,Two year,70.50702570394607,1,1,Credit card,1,0,63,Female,No,1,0,1,1,2961.295079565735,1,0,3.548349626448518,54.555483225606665,-24,13,0,1,3270.4210356189233
41,Two year,92.93237719282871,1,1,Credit card,1,1,79,Female,Fiber optic,0,0,0,0,3810.2274649059773,0,1,92.94749596517697,68.36791606429988,89,4,0,2,3515.9962472628254
25,One year,72.74328722759991,0,0,Mailed check,1,0,58,Male,No,0,0,0,1,1818.5821806899976,0,0,40.51725919995727,67.46882240067046,33,5,0,2,2448.608286635966
46,Two year,63.99467284544713,1,1,Bank transfer,1,0,41,Female,Fiber optic,0,0,0,0,2943.7549508905677,3,0,90.72520053799671,49.59016453629579,27,12,0,2,2833.2189718067216
43,Two year,81.09060723661025,1,1,Credit card,1,0,44,Male,Fiber optic,0,0,1,1,3486.896111174241,5,3,2.7888733351920987,65.01320605058365,42,12,0,1,3929.579551945374
44,Two year,63.52806815159483,1,1,Credit card,1,1,71,Male,Fiber optic,1,0,1,0,2795.2349986701724,6,0,44.07751994667918,47.02574677985047,13,25,0,2,2742.3010251508285
28,One year,74.28231970022762,0,1,Bank transfer,1,0,58,Female,Fiber optic,0,0,0,1,2079.9049516063733,6,0,86.93437161850896,52.247793377212574,14,3,0,2,2225.6274973500986
66,Two year,75.62913462454453,1,1,Credit card,1,0,37,Female,DSL,0,1,1,1,4991.522885219939,2,1,100.04497324173084,54.05029702649156,43,7,0,2,3780.4856421718855
8,One year,61.58874218263777,0,0,Electronic check,1,0,48,Male,Fiber optic,0,0,1,0,492.7099374611022,4,1,33.17702254699545,52.110592797049264,89,5,0,2,2356.036353714867
10,Month-to-month,98.8229928229617,0,0,Electronic check,1,1,73,Male,Fiber optic,1,0,0,0,988.2299282296169,5,2,5.0455474917640855,12.408118171534053,-18,39,1,1,1901.499800098903
5,One year,32.766619358167304,1,1,Mailed check,1,1,77,Female,DSL,0,0,0,0,163.83309679083652,3,1,49.33558660042659,49.05948819153152,52,49,1,2,1855.446242290914
5,One year,50.673288335508005,0,0,Mailed check,1,0,33,Male,DSL,0,0,0,0,253.36644167754002,2,0,132.832702411308,71.37969407792701,50,35,0,2,2219.584091565934
38,Two year,62.33818456434216,1,1,Credit card,1,0,37,Male,Fiber optic,1,1,1,0,2368.851013445002,2,0,85.81811237803846,54.95538064889287,38,1,0,2,2685.909692324444
7,Month-to-month,32.60229193780657,0,1,Mailed check,1,0,18,Male,DSL,0,0,0,0,228.216043564646,2,0,40.0155743494405,79.25429334881352,54,15,0,2,1251.2133471703005
36,Two year,85.67439835421422,1,1,Bank transfer,1,0,32,Female,DSL,0,0,0,1,3084.2783407517118,0,0,121.8051711028834,78.31080195864392,47,3,0,2,3056.9783307206826
69,Two year,60.2684156121624,1,1,Credit card,1,0,60,Female,No,1,0,0,1,4158.520677239206,4,0,10.641288205630307,50.725282990794305,62,20,0,2,3895.67054904929
18,One year,62.41320028538252,1,1,Bank transfer,1,0,46,Female,DSL,0,1,0,0,1123.4376051368854,2,0,3.7086206882295722,43.95671894531326,41,10,0,2,1906.942333298499
70,Two year,91.7362903259135,1,1,Credit card,1,1,76,Female,No,0,0,1,0,6421.540322813945,0,0,33.373463229899,62.69048266948195,15,0,0,2,3700.0412092644797
11,Month-to-month,60.886346203089715,0,0,Electronic check,1,0,29,Female,DSL,1,0,0,1,669.7498082339869,2,0,10.997428297376183,44.24150622654844,52,9,0,2,1662.0556549571636
12,One year,61.7364364007758,0,0,Credit card,1,0,30,Male,No,1,0,0,1,740.8372368093096,0,0,6.653446041006153,42.73545112232049,18,7,1,2,1935.1745994773148
6,Month-to-month,71.57869629552263,1,0,Mailed check,1,0,37,Male,Fiber optic,1,0,1,1,429.4721777731358,2,1,56.16645164017695,58.301674522778335,58,0,0,2,2193.263731474483
34,Two year,70.11735748332995,0,0,Bank transfer,1,1,79,Male,Fiber optic,1,0,1,0,2383.9901544332183,2,0,84.05346435852077,65.27239449442914,24,7,0,2,1888.8569813184324
9,Month-to-month,81.8163008804729,0,0,Electronic check,1,0,18,Male,Fiber optic,0,1,0,0,736.3467079242561,6,5,4.135047351329867,8.495420465514146,-39,13,0,0,2433.5209174546576
12,Month-to-month,114.89155398007097,0,0,Electronic check,1,0,45,Female,Fiber optic,0,1,1,1,1378.6986477608516,4,3,46.981470997069096,10.497220317819298,31,20,1,1,3242.0136978001083
29,One year,68.19319089754599,1,0,Bank transfer,0,0,29,Male,DSL,0,1,1,1,1977.6025360288336,2,0,53.5434094141162,74.57415946783176,86,7,0,2,3014.4184094130233
17,Month-to-month,89.75202678407493,0,0,Electronic check,1,0,41,Female,DSL,0,1,0,0,1525.784455329274,8,2,2.3606228738027064,8.291086152267017,-20,237,1,0,2821.3128898413343
5,Month-to-month,31.671326654661083,0,1,Mailed check,0,0,29,Male,DSL,0,0,1,1,158.35663327330542,1,1,97.96698032127313,46.352871769208896,72,1,0,2,1363.283873705651
59,Two year,95.17020459385539,1,1,Credit card,1,0,57,Female,Fiber optic,1,0,0,0,5615.042071037468,2,0,1.4429393667049624,74.93369548696582,60,9,0,2,3543.08647312475
16,Two year,80.80157262728493,1,1,Bank transfer,1,0,46,Female,Fiber optic,0,0,1,0,1292.8251620365588,1,0,7.464113729200274,51.435451795848095,40,19,0,2,2163.364536757629
24,Two year,79.36461204257677,1,0,Mailed check,1,0,31,Female,Fiber optic,0,0,0,0,1904.7506890218424,0,1,65.55114822440113,55.298610074818555,27,40,0,2,1890.3808398391022
31,Two year,85.87852486842468,1,0,Bank transfer,1,0,59,Female,Fiber optic,0,0,1,0,2662.234270921165,3,1,56.49294274101483,78.2551261265462,17,8,0,2,1782.6657494287892
15,Month-to-month,88.30066959200755,0,0,Electronic check,1,0,54,Female,DSL,0,0,0,0,1324.5100438801132,6,1,10.76907277418817,23.57013887177713,14,87,1,1,2603.2820751502964
45,Two year,71.3824920705159,1,1,Credit card,1,1,77,Male,Fiber optic,0,0,0,0,3212.2121431732153,2,0,33.406469761890136,79.58596123606625,37,10,0,2,3254.9208393977997
64,Two year,79.167329177744,1,1,Bank transfer,1,0,64,Male,No,1,0,1,1,5066.709067375616,2,1,57.39222753537266,42.151513900223634,1,0,0,2,3824.0350805643375
6,Month-to-month,78.63203203901456,0,0,Electronic check,1,0,20,Male,Fiber optic,1,0,1,1,471.79219223408734,8,4,13.7449844788235,21.31810154730403,-63,18,1,1,1349.334582313916
23,Two year,86.48543607692733,1,1,Credit card,0,0,51,Female,Fiber optic,0,1,0,1,1989.1650297693286,2,0,46.92144377073391,68.91784225220664,40,3,0,2,3005.3093132715976
31,Two year,82.23779554856613,0,1,Mailed check,0,1,74,Female,DSL,1,0,0,1,2549.3716620055498,1,0,15.436210638363503,54.06930887469793,22,5,0,2,2208.602796579431
16,Two year,84.86388603806245,0,0,Credit card,0,0,48,Male,DSL,0,1,1,0,1357.8221766089991,1,1,44.329088909748016,43.24864899613199,11,7,0,2,1861.054276105854
33,One year,59.906003938984185,1,0,Mailed check,1,0,41,Male,Fiber optic,0,1,1,0,1976.8981299864781,1,0,51.75518357068263,40.112399485010776,32,8,0,2,2076.9112834176967
14,Month-to-month,97.32508569489416,0,0,Electronic check,1,0,61,Male,DSL,1,1,0,0,1362.5511997285182,7,3,24.5045121151908,27.243061103291687,-25,14,1,1,1713.084656674803
13,Month-to-month,72.90755602832006,0,0,Electronic check,1,0,40,Female,DSL,0,0,0,0,947.7982283681607,10,4,43.22397164974997,27.453234238523574,-27,60,1,1,2141.8564960789554
22,Month-to-month,79.61458616155399,0,0,Electronic check,1,1,74,Female,Fiber optic,0,0,1,1,1751.5208955541877,6,4,12.920586144558182,26.501031096267038,-10,12,1,1,2294.159010137166
